Geo_Point,PTCAR_ID,TAF_TAP_code,Symbolic_name,Abbreviation_BTS_French_short,Abbreviation_BTS_Dutch_short,Abbreviation_BTS_French_complete,Abbreviation_BTS_Dutch_complete,Short_name_in_French,Short_name_in_Dutch,Middle_name_in_French,Middle_name_in_Dutch,Complete_name_in_French,Complete_name_in_Dutch,Classification_NL,Classification_EN,Classification_FR
"51.20098906923481, 4.372785596097141",1820,BE01820,RKLIJ,ANTW-K-RIJ,ANTW-K-RIJ,ANTWERPEN-KIEL-ROOSTER I/J,ANTWERPEN-KIEL-ROOSTER I/J,Antw-K-RIJ,Antw-K-RIJ,Antw-Kiel-R.I/J,Antw-Kiel-R.I/J,Antwerpen-Kiel-Rooster I/J,Antwerpen-Kiel-Rooster I/J,Rooster,Grid,Gril
"51.20014215183788, 3.093302532270987",609,BE00609,FGB,JABBEKE,JABBEKE,JABBEKE,JABBEKE,Jabbeke,Jabbeke,Jabbeke,Jabbeke,Jabbeke,Jabbeke,Rooster,Grid,Gril
"51.07472085820979, 3.74505617371193",1532,BE01532,YFRMN,Y.FARMANSTR,Y.FARMANSTR,Y.FARMANSTRAAT,Y.FARMANSTRAAT,Y.Farmanstr,Y.Farmanstr,Y.Farmanstraat,Y.Farmanstraat,Y.Farmanstraat,Y.Farmanstraat,Vertakking,Junction,Bifurcation
"50.82466239273605, 4.324692591326769",1536,BE01536,YFOST,Y.FOREST-EST,Y.VORST-OOST,Y.FOREST-EST,Y.VORST-OOST,Y.Forest-Est,Y.Vorst-Oost,Y.Forest-Est,Y.Vorst-Oost,Y.Forest-Est,Y.Vorst-Oost,Vertakking,Junction,Bifurcation
"50.6398580340523, 5.597237957017657",1538,BE01538,RFROI,FROIDMONT,FROIDMONT,FROIDMONT,FROIDMONT,Froidmont,Froidmont,Froidmont,Froidmont,Froidmont,Froidmont,Rooster,Grid,Gril
"50.59952148771888, 5.46697632744905",1540,BE01540,YLMAN,Y.LEMAN,Y.LEMAN,Y.LEMAN,Y.LEMAN,Y.Leman,Y.Leman,Y.Leman,Y.Leman,Y.Leman,Y.Leman,Vertakking,Junction,Bifurcation
"50.882103579769854, 4.391785693825966",1541,BE01541,FSRRN,SCHAERBEEK-N,SCHAARBEEK-N,SCHAERBEEK-GRIL N,SCHAARBEEK-ROOSTER N,Schaerbeek-N,Schaarbeek-N,Schaerbeek-Gril N,Schaarbeek-Rooster N,Schaerbeek-Gril N,Schaarbeek-Rooster N,Rooster,Grid,Gril
"50.90340308890387, 4.418601960644207",1543,BE01543,YGHTN,Y.HAREN-ND,Y.HAREN-ND,Y.HAREN-NORD,Y.HAREN-NOORD,Y.Haren-Nd,Y.Haren-Nd,Y.Haren-Nord,Y.Haren-Noord,Y.Haren-Nord,Y.Haren-Noord,Vertakking,Junction,Bifurcation
"50.61306258132906, 5.492437589918078",1323,BE01323,RLFHC,R.COCKER.3-4,R.COCKER.3-4,RACC.FLEMALLE-COCKERILL 3-4,RACC.FLEMALLE-COCKERILL 3-4,R.Cocker.3-4,R.Cocker.3-4,Racc.Cockerill 3-4,Racc.Cockerill 3-4,Racc.Flémalle-Cockerill 3-4,Racc.Flémalle-Cockerill 3-4,Verbinding,Connection,Raccordement
"50.628186259936214, 5.563380723141432",1343,BE01343,GFLPL,LIEGE-PLANS,LIEGE-PLANS,LIEGE-PLANS,LIEGE-PLANS,Liège-Plans,Liège-Plans,Liège-Plans,Liège-Plans,Liège-Plans,Liège-Plans,Rooster,Grid,Gril
"51.24894464479719, 4.387721851649128",92,BE00092,YAMRK,Y.AMERIKA,Y.AMERIKA,Y.AMERIKA,Y.AMERIKA,Y.Amerika,Y.Amerika,Y.Amerika,Y.Amerika,Y.Amerika,Y.Amerika,Vertakking,Junction,Bifurcation
"51.1713009279554, 4.470119526779546",1565,BE01565,YLSWG,Y.LIERSESTWG,Y.LIERSESTWG,Y.LIERSESTEENWEG,Y.LIERSESTEENWEG,Y.Liersestwg,Y.Liersestwg,Y.Liersesteenweg,Y.Liersesteenweg,Y.Liersesteenweg,Y.Liersesteenweg,Vertakking,Junction,Bifurcation
"51.12902297307021, 4.48859907996921",1568,BE01568,YLINT,Y.LINT,Y.LINT,Y.LINT,Y.LINT,Y.Lint,Y.Lint,Y.Lint,Y.Lint,Y.Lint,Y.Lint,Vertakking,Junction,Bifurcation
"50.86484880853261, 4.724307228305944",1576,BE01576,YMLBK,Y.MOLENBEEK,Y.MOLENBEEK,Y.MOLENBEEK,Y.MOLENBEEK,Y.Molenbeek,Y.Molenbeek,Y.Molenbeek,Y.Molenbeek,Y.Molenbeek,Y.Molenbeek,Vertakking,Junction,Bifurcation
"51.1285552784325, 3.16559269368816",270,BE00270,LZMEG,ZEDELGEM-E/G,ZEDELGEM-E/G,ZEDELGEM-ROOSTER E/G,ZEDELGEM-ROOSTER E/G,Zedelgem-E/G,Zedelgem-E/G,Zedelgem-Rooster E/G,Zedelgem-Rooster E/G,Zedelgem-Rooster E/G,Zedelgem-Rooster E/G,Rooster,Grid,Gril
"50.53589492714154, 3.918252329752269",280,BE00280,PN78,PN 78,PN 78,COURBE DE JURBISE-PN 78,COURBE DE JURBISE-PN 78,PN 78,PN 78,Courbe Jurbise-PN 78,Courbe Jurbise-PN 78,Courbe de Jurbise-PN 78,Courbe de Jurbise-PN 78,Rooster,Grid,Gril
"50.964863620071455, 5.458178589832382",285,BE00285,BOKBH,BOKSBERGHDE,BOKSBERGHDE,BOKSBERGHEIDE,BOKSBERGHEIDE,Boksberghde,Boksberghde,Boksbergheide,Boksbergheide,Boksbergheide,Boksbergheide,Rooster,Grid,Gril
"51.005458674054395, 3.792232013785393",878,BE00878,YFMLW,Y.MELLE-WEST,Y.MELLE-WEST,Y.MELLE-WEST,Y.MELLE-WEST,Y.Melle-West,Y.Melle-West,Y.Melle-West,Y.Melle-West,Y.Melle-West,Y.Melle-West,Vertakking,Junction,Bifurcation
"50.4846132872931, 3.794412085287112",1361,BE01361,RPOLY,R.POLYOL,R.POLYOL,RACC.POLYOL,RACC.POLYOL,R.Polyol,R.Polyol,Racc.Polyol,Racc.Polyol,Racc.Polyol,Racc.Polyol,Verbinding,Connection,Raccordement
"50.47147848325824, 4.925193163284328",131,BE00131,BEEZ,BEEZ,BEEZ,BEEZ,BEEZ,Beez,Beez,Beez,Beez,Beez,Beez,Rooster,Grid,Gril
"51.076814000326635, 5.231866995194583",141,BE00141,RMI,BERINGEN-M,BERINGEN-M,BERINGEN-MIJN,BERINGEN-MIJN,Beringen-M,Beringen-M,Beringen-Mine,Beringen-Mijn,Beringen-Mine,Beringen-Mijn,Rooster,Grid,Gril
"51.20595494328642, 4.432882048224204",1499,BE01499,YGNS,Y.ANTW-OOST,Y.ANTW-OOST,Y.ANTWERPEN-OOST,Y.ANTWERPEN-OOST,Y.Antw-Oost,Y.Antw-Oost,Y.Antwerpen-Oost,Y.Antwerpen-Oost,Y.Antwerpen-Oost,Y.Antwerpen-Oost,Vertakking,Junction,Bifurcation
"50.96653612463, 5.465481943550682",1512,BE01512,YBKHE,Y.BOKSBERGH,Y.BOKSBERGH,Y.BOKSBERGHEIDE,Y.BOKSBERGHEIDE,Y.Boksbergh,Y.Boksbergh,Y.Boksbergheide,Y.Boksbergheide,Y.Boksbergheide,Y.Boksbergheide,Vertakking,Junction,Bifurcation
"49.690306100406964, 5.772725032774649",303,BE00303,MKMSD,STOCKEM-SUD,STOCKEM-SUD,STOCKEM-SUD,STOCKEM-SUD,Stockem-Sud,Stockem-Sud,Stockem-Sud,Stockem-Sud,Stockem-Sud,Stockem-Sud,Rooster,Grid,Gril
"51.144455378409454, 4.59247147873523",314,BE00314,DBIST,DE BIST,DE BIST,DE BIST,DE BIST,De Bist,De Bist,De Bist,De Bist,De Bist,De Bist,Rooster,Grid,Gril
"50.62436038623289, 3.841293110398929",709,BE00709,YLCC,Y.LE COUCOU,Y.LE COUCOU,Y.LE COUCOU,Y.LE COUCOU,Y.Le Coucou,Y.Le Coucou,Y.Le Coucou,Y.Le Coucou,Y.Le Coucou,Y.Le Coucou,Vertakking,Junction,Bifurcation
"51.267065139481645, 4.278125321799353",1827,BE01827,YFNSW,Y.FARNESE-W,Y.FARNESE-W,Y.FARNESE-WEST,Y.FARNESE-WEST,Y.Farnese-W,Y.Farnese-W,Y.Farnese-West,Y.Farnese-West,Y.Farnese-West,Y.Farnese-West,Vertakking,Junction,Bifurcation
"51.20607457190925, 4.426135291237047",1840,BE01840,YARST,Y.ARENDSTR,Y.ARENDSTR,Y.ARENDSTRAAT,Y.ARENDSTRAAT,Y.Arendstr,Y.Arendstr,Y.Arendstraat,Y.Arendstraat,Y.Arendstraat,Y.Arendstraat,Vertakking,Junction,Bifurcation
"50.977308002604616, 5.470927995643779",1922,BE01922,RFGKU,GENK-G-UITHU,GENK-G-UITHU,GENK-GOED.-UITRIT HULPSTATIE,GENK-GOED.-UITRIT HULPSTATIE,Genk-G-UitHu,Genk-G-UitHu,Genk-G-Uitrit Hulpst,Genk-G-Uitrit Hulpst,Genk-Goed.-Uitrit Hulpstatie,Genk-Goed.-Uitrit Hulpstatie,Rooster,Grid,Gril
"51.14790934131162, 3.742750282146831",1929,BE01929,YWPGM,Y.WIPPELGEM,Y.WIPPELGEM,Y.WIPPELGEM,Y.WIPPELGEM,Y.Wippelgem,Y.Wippelgem,Y.Wippelgem,Y.Wippelgem,Y.Wippelgem,Y.Wippelgem,Vertakking,Junction,Bifurcation
"51.00025049762881, 5.477456871814398",1942,BE01942,FKGGM,GENK-MUSEUM,GENK-MUSEUM,GENK-GOEDEREN-MUSEUMLIJN,GENK-GOEDEREN-MUSEUMLIJN,Genk-Museum,Genk-Museum,Genk-Goederen-Museum,Genk-Goederen-Museum,Genk-Goederen-Museumlijn,Genk-Goederen-Museumlijn,Andere,Other,Autre
"51.28490757550251, 4.282990530153121",1970,BE01970,YGSLZ,Y.GESLECHT-Z,Y.GESLECHT-Z,Y.GESLECHT-ZUID,Y.GESLECHT-ZUID,Y.Geslecht-Z,Y.Geslecht-Z,Y.Geslecht-Zuid,Y.Geslecht-Zuid,Y.Geslecht-Zuid,Y.Geslecht-Zuid,Vertakking,Junction,Bifurcation
"50.72926216683363, 4.235457697656707",503,BE00503,FHRIN,HALLE-RING,HALLE-RING,HALLE-RING,HALLE-RING,Halle-Ring,Halle-Ring,Halle-Ring,Halle-Ring,Halle-Ring,Halle-Ring,Rooster,Grid,Gril
"50.880801261419705, 4.344234634697317",1551,BE01551,YBCKS,Y.BOCKSTAEL,Y.BOCKSTAEL,Y.BOCKSTAEL,Y.BOCKSTAEL,Y.Bockstael,Y.Bockstael,Y.Bockstael,Y.Bockstael,Y.Bockstael,Y.Bockstael,Vertakking,Junction,Bifurcation
"50.536499582626725, 3.939965189999057",1553,BE01553,YFJR,Y.JURBISE,Y.JURBISE,Y.JURBISE,Y.JURBISE,Y.Jurbise,Y.Jurbise,Y.Jurbise,Y.Jurbise,Y.Jurbise,Y.Jurbise,Vertakking,Junction,Bifurcation
"51.18034583728249, 4.466611957799533",1558,BE01558,YKRBN,Y.KRIJGSBAAN,Y.KRIJGSBAAN,Y.KRIJGSBAAN,Y.KRIJGSBAAN,Y.Krijgsbaan,Y.Krijgsbaan,Y.Krijgsbaan,Y.Krijgsbaan,Y.Krijgsbaan,Y.Krijgsbaan,Vertakking,Junction,Bifurcation
"50.53922172586179, 3.913725839671654",1563,BE01563,YFNE,Y.LENS,Y.LENS,Y.LENS,Y.LENS,Y.Lens,Y.Lens,Y.Lens,Y.Lens,Y.Lens,Y.Lens,Vertakking,Junction,Bifurcation
"51.28476922853063, 3.230832077955927",1564,BE01564,YPEL,Y.PELIKAAN,Y.PELIKAAN,Y.PELIKAAN,Y.PELIKAAN,Y.Pelikaan,Y.Pelikaan,Y.Pelikaan,Y.Pelikaan,Y.Pelikaan,Y.Pelikaan,Vertakking,Junction,Bifurcation
"50.61672373387727, 5.936919341527756",322,BE00322,VDL,DOLHAIN-VIC,DOLHAIN-VIC,DOLHAIN-VICINAL,DOLHAIN-VICINAL,Dolhain-Vic,Dolhain-Vic,Dolhain-Vicinal,Dolhain-Vicinal,Dolhain-Vicinal,Dolhain-Vicinal,Rooster,Grid,Gril
"50.728612449906514, 5.927770497570676",334,BE00334,GMNGM,MONTZEN-GR.M,MONTZEN-GR.M,MONTZEN-GRIL M,MONTZEN-GRIL M,Montzen-Gr.M,Montzen-Gr.M,Montzen-Gril M,Montzen-Gril M,Montzen-Gril M,Montzen-Gril M,Rooster,Grid,Gril
"51.26328056096633, 4.383234488194165",1976,BE01976,YWMBR,Y.WILMABRUG,Y.WILMABRUG,Y.WILMARSDONKBRUG,Y.WILMARSDONKBRUG,Y.Wilmabrug,Y.Wilmabrug,Y.Wilmarsdonkbrug,Y.Wilmarsdonkbrug,Y.Wilmarsdonkbrug,Y.Wilmarsdonkbrug,Vertakking,Junction,Bifurcation
"51.33289121395535, 3.228563594113536",1424,BE01424,LZRSR,ZEEBR-SEA-RO,ZEEBR-SEA-RO,ZEEBRUGGE-SEA-RO TERMINAL,ZEEBRUGGE-SEA-RO TERMINAL,Zeebr-Sea-Ro,Zeebr-Sea-Ro,Zeebrugge-Sea-Ro,Zeebrugge-Sea-Ro,Zeebrugge-Sea-Ro Terminal,Zeebrugge-Sea-Ro Terminal,Station,Station,Gare
"51.252177012592874, 4.213616258975203",1428,BE01428,YHAZP,Y.HAZOP,Y.HAZOP,Y.HAZOP,Y.HAZOP,Y.Hazop,Y.Hazop,Y.Hazop,Y.Hazop,Y.Hazop,Y.Hazop,Vertakking,Junction,Bifurcation
"50.4588680785821, 4.830267842830337",1432,BE01432,FEOGR,RONET-GRIL R,RONET-GRIL R,RONET-GRIL R,RONET-GRIL R,Ronet-Gril R,Ronet-Gril R,Ronet-Gril R,Ronet-Gril R,Ronet-Gril R,Ronet-Gril R,Rooster,Grid,Gril
"51.1356096767034, 4.558240353060645",760,BE00760,FLRDE,LIER-D/E,LIER-D/E,LIER-ROOSTER D/E,LIER-ROOSTER D/E,Lier-D/E,Lier-D/E,Lier-Rooster D/E,Lier-Rooster D/E,Lier-Rooster D/E,Lier-Rooster D/E,Rooster,Grid,Gril
"50.8186959691339, 4.315840063300766",2001,BE02001,FOVTO,FOREST-97XD,VORST-97XD,FOREST-TGV-TO97XD,VORST-HST-TO97XD,Forest-97XD,Vorst-97XD,Forest-TGV-TO97XD,Vorst-HST-TO97XD,Forest-TGV-TO97XD,Vorst-HST-TO97XD,Rooster,Grid,Gril
"51.10910755116282, 3.730391920893332",1582,BE01582,YESTN,Y.ND EVERSTN,Y.ND EVERSTN,Y.NOORD EVERSTEIN,Y.NOORD EVERSTEIN,Y.Nd Everstn,Y.Nd Everstn,Y.Noord Everstein,Y.Noord Everstein,Y.Noord Everstein,Y.Noord Everstein,Vertakking,Junction,Bifurcation
"51.267974061634305, 4.383114531394288",1585,BE01585,YNDRL,Y.NOORDERL,Y.NOORDERL,Y.NOORDERLAAN,Y.NOORDERLAAN,Y.Noorderl,Y.Noorderl,Y.Noorderlaan,Y.Noorderlaan,Y.Noorderlaan,Y.Noorderlaan,Vertakking,Junction,Bifurcation
"50.94071080521217, 5.311996617106379",1587,BE01587,YFHSN,Y.N.HASSELT,Y.N.HASSELT,Y.NOORD DRIEHOEK HASSELT,Y.NOORD DRIEHOEK HASSELT,Y.N.Hasselt,Y.N.Hasselt,Y.Noord Dr.Hasselt,Y.Noord Dr.Hasselt,Y.Noord Driehoek Hasselt,Y.Noord Driehoek Hasselt,Vertakking,Junction,Bifurcation
"51.29015006978932, 4.3772138537453",1594,BE01594,YMUBR,Y.MUISBROEK,Y.MUISBROEK,Y.MUISBROEK,Y.MUISBROEK,Y.Muisbroek,Y.Muisbroek,Y.Muisbroek,Y.Muisbroek,Y.Muisbroek,Y.Muisbroek,Vertakking,Junction,Bifurcation
"50.55335552000459, 3.483794113366549",1595,BE01595,YMAUB,Y.MAUBRAY,Y.MAUBRAY,Y.MAUBRAY,Y.MAUBRAY,Y.Maubray,Y.Maubray,Y.Maubray,Y.Maubray,Y.Maubray,Y.Maubray,Vertakking,Junction,Bifurcation
"50.86659187822329, 4.715131399768393",1600,BE01600,YPABR,Y.PARKBRUG,Y.PARKBRUG,Y.PARKBRUG,Y.PARKBRUG,Y.Parkbrug,Y.Parkbrug,Y.Parkbrug,Y.Parkbrug,Y.Parkbrug,Y.Parkbrug,Vertakking,Junction,Bifurcation
"50.40747077363045, 4.516345007698439",2006,BE02006,FCLGO,CHATELET-O,CHATELET-O,CHATELET-GRIL OUEST,CHATELET-GRIL OUEST,Châtelet-O,Châtelet-O,Châtelet-Gril Ouest,Châtelet-Gril Ouest,Châtelet-Gril Ouest,Châtelet-Gril Ouest,Rooster,Grid,Gril
"50.60604051059308, 5.572653811363091",2021,BE02021,NKGRF,KINKEMP-GR.F,KINKEMP-GR.F,KINKEMPOIS-GRIL F,KINKEMPOIS-GRIL F,Kinkemp-Gr.F,Kinkemp-Gr.F,Kinkempois-Gril F,Kinkempois-Gril F,Kinkempois-Gril F,Kinkempois-Gril F,Rooster,Grid,Gril
"50.60696657402437, 5.528133668925928",2044,BE02044,LGRFK,OUGREE-F/K,OUGREE-F/K,OUGREE-GRIL F/K,OUGREE-GRIL F/K,Ougrée-F/K,Ougrée-F/K,Ougrée-Gril F/K,Ougrée-Gril F/K,Ougrée-Gril F/K,Ougrée-Gril F/K,Rooster,Grid,Gril
"50.95346809394823, 5.342432333207752",2045,BE02045,GKWI,KIEWIT INRIT,KIEWIT INRIT,KIEWIT INRIT,KIEWIT INRIT,Kiewit Inrit,Kiewit Inrit,Kiewit Inrit,Kiewit Inrit,Kiewit Inrit,Kiewit Inrit,Rooster,Grid,Gril
"51.068463746094665, 3.55724811537384",2052,BE02052,FLMR,LANDEGEM-R.,LANDEGEM-R.,LANDEGEM-ROOSTER G/H/L,LANDEGEM-ROOSTER G/H/L,Landegem-R.,Landegem-R.,Landegem-R. G/H/L,Landegem-R. G/H/L,Landegem-Rooster G/H/L,Landegem-Rooster G/H/L,Rooster,Grid,Gril
"50.81430628530073, 4.401298700901049",1633,BE01633,YFW,Y.WATERMAEL,Y.WATERMAAL,Y.WATERMAEL,Y.WATERMAAL,Y.Watermael,Y.Watermaal,Y.Watermael,Y.Watermaal,Y.Watermael,Y.Watermaal,Vertakking,Junction,Bifurcation
"50.97553232072326, 4.470448499124544",1636,BE01636,YFWE,Y.WEERDE,Y.WEERDE,Y.WEERDE,Y.WEERDE,Y.Weerde,Y.Weerde,Y.Weerde,Y.Weerde,Y.Weerde,Y.Weerde,Vertakking,Junction,Bifurcation
"50.94981537418574, 5.328240849493443",1642,BE01642,YZONH,Y.ZONHOVEN,Y.ZONHOVEN,Y.ZONHOVEN,Y.ZONHOVEN,Y.Zonhoven,Y.Zonhoven,Y.Zonhoven,Y.Zonhoven,Y.Zonhoven,Y.Zonhoven,Vertakking,Junction,Bifurcation
"50.99272621401514, 4.829945523516637",1643,BE01643,YRSTZ,Y.Z.AARSCHOT,Y.Z.AARSCHOT,Y.ZUID DRIEHOEK AARSCHOT,Y.ZUID DRIEHOEK AARSCHOT,Y.Z.Aarschot,Y.Z.Aarschot,Y.Zuid Dr.Aarschot,Y.Zuid Dr.Aarschot,Y.Zuid Driehoek Aarschot,Y.Zuid Driehoek Aarschot,Vertakking,Junction,Bifurcation
"51.212571158035296, 4.310920047187281",1646,BE01646,YLZDF,Y.ZWIJNDR-F,Y.ZWIJNDR-F,Y.ZWIJNDRECHT-FORT,Y.ZWIJNDRECHT-FORT,Y.Zwijndr-F,Y.Zwijndr-F,Y.Zwijndrecht-Fort,Y.Zwijndrecht-Fort,Y.Zwijndrecht-Fort,Y.Zwijndrecht-Fort,Vertakking,Junction,Bifurcation
"50.433262631822075, 4.309649652746761",1650,BE01650,YLFC,Y.FORCHIES,Y.FORCHIES,Y.FORCHIES,Y.FORCHIES,Y.Forchies,Y.Forchies,Y.Forchies,Y.Forchies,Y.Forchies,Y.Forchies,Vertakking,Junction,Bifurcation
"50.60486243325052, 5.557773789583534",1653,BE01653,YRENO,Y.RENORY,Y.RENORY,Y.RENORY,Y.RENORY,Y.Renory,Y.Renory,Y.Renory,Y.Renory,Y.Renory,Y.Renory,Vertakking,Junction,Bifurcation
"50.44762106928358, 4.219493770325089",536,BE00536,HAYET,HAYETTES,HAYETTES,HAYETTES,HAYETTES,Hayettes,Hayettes,Hayettes,Hayettes,Hayettes,Hayettes,Rooster,Grid,Gril
"51.15390759453177, 4.343613180088255",547,BE00547,RVRBK,INR.VERBEKE,INR.VERBEKE,INRIT VERB.HEMIKSEM-VERBEKE,INRIT VERB.HEMIKSEM-VERBEKE,Inr.Verbeke,Inr.Verbeke,Inrit V.Verbeke,Inrit V.Verbeke,Inrit Verb.Hemiksem-Verbeke,Inrit Verb.Hemiksem-Verbeke,Rooster,Grid,Gril
"51.24968201660864, 4.204404702839663",1677,BE01677,YAVEN,Y.AVEN ACK,Y.AVEN ACK,Y.AVEN ACKERS,Y.AVEN ACKERS,Y.Aven Ack,Y.Aven Ack,Y.Aven Ackers,Y.Aven Ackers,Y.Aven Ackers,Y.Aven Ackers,Vertakking,Junction,Bifurcation
"51.24704239985593, 4.254244655053212",1704,BE01704,YSLND,Y.STEENLAND,Y.STEENLAND,Y.STEENLAND,Y.STEENLAND,Y.Steenland,Y.Steenland,Y.Steenland,Y.Steenland,Y.Steenland,Y.Steenland,Vertakking,Junction,Bifurcation
"51.26169000014397, 4.200767995571041",1473,BE01473,YAET,Y.A.E.T.,Y.A.E.T.,Y.ANTWERP EURO TERMINAL,Y.ANTWERP EURO TERMINAL,Y.A.E.T.,Y.A.E.T.,Y.A.E.T.,Y.A.E.T.,Y.Antwerp Euro Terminal,Y.Antwerp Euro Terminal,Vertakking,Junction,Bifurcation
"51.24910813752414, 4.246782468506885",1480,BE01480,VMOER,V.VAN MOER,V.VAN MOER,VERB.VAN MOER,VERB.VAN MOER,V.Van Moer,V.Van Moer,Verb.Van Moer,Verb.Van Moer,Verb.Van Moer,Verb.Van Moer,Verbinding,Connection,Raccordement
"51.21141850574534, 2.973269368272175",28,BE00028,RFSDC,OOSTENDE-C,OOSTENDE-C,OOSTENDE-ROOSTER C,OOSTENDE-ROOSTER C,Oostende-C,Oostende-C,Oostende-Rooster C,Oostende-Rooster C,Oostende-Rooster C,Oostende-Rooster C,Rooster,Grid,Gril
"51.217148366674024, 4.445919267227301",1707,BE01707,YFNZG,Y.ANTW-SCHPT,Y.ANTW-SCHPT,Y.ANTWERPEN-SCHIJNPOORT,Y.ANTWERPEN-SCHIJNPOORT,Y.Antw-Schpt,Y.Antw-Schpt,Y.Antwerpen-Schijnpt,Y.Antwerpen-Schijnpt,Y.Antwerpen-Schijnpoort,Y.Antwerpen-Schijnpoort,Vertakking,Junction,Bifurcation
"51.251476368122724, 4.253310942601344",1721,BE01721,YKRIN,Y.KRUIPIN,Y.KRUIPIN,Y.KRUIPIN,Y.KRUIPIN,Y.Kruipin,Y.Kruipin,Y.Kruipin,Y.Kruipin,Y.Kruipin,Y.Kruipin,Vertakking,Junction,Bifurcation
"51.07990813650448, 2.643355237860141",1725,BE01725,YMX,Y.KOKSIJDE,Y.KOKSIJDE,Y.KOKSIJDE,Y.KOKSIJDE,Y.Koksijde,Y.Koksijde,Y.Koksijde,Y.Koksijde,Y.Koksijde,Y.Koksijde,Vertakking,Junction,Bifurcation
"50.75246474255931, 5.095382895681092",1726,BE01726,YGIST,Y.GINGELOMST,Y.GINGELOMST,Y.GINGELOMSTRAAT,Y.GINGELOMSTRAAT,Y.Gingelomst,Y.Gingelomst,Y.Gingelomstraat,Y.Gingelomstraat,Y.Gingelomstraat,Y.Gingelomstraat,Vertakking,Junction,Bifurcation
"50.882533849693736, 4.49984878983996",1737,BE01737,YLEM,Y.NOSSEGEM,Y.NOSSEGEM,Y.NOSSEGEM,Y.NOSSEGEM,Y.Nossegem,Y.Nossegem,Y.Nossegem,Y.Nossegem,Y.Nossegem,Y.Nossegem,Vertakking,Junction,Bifurcation
"50.93391536903189, 4.051181877432809",1743,BE01743,RFLSO,AALST-O,AALST-O,AALST-ROOSTER OOST,AALST-ROOSTER OOST,Aalst-O,Aalst-O,Aalst-Rooster Oost,Aalst-Rooster Oost,Aalst-Rooster Oost,Aalst-Rooster Oost,Rooster,Grid,Gril
"51.29704390976126, 4.252611603385125",2071,BE02071,KRHKJ,KROMMENHK-J,KROMMENHK-J,B.KROMMENHOEK-UITRIT J,B.KROMMENHOEK-UITRIT J,Krommenhk-J,Krommenhk-J,B.Krommenhoek-J,B.Krommenhoek-J,B.Krommenhoek-Uitrit J,B.Krommenhoek-Uitrit J,Rooster,Grid,Gril
"51.34598379902727, 3.173135900809368",1906,BE01906,LZRDL,ZEEBR-DART-L,ZEEBR-DART-L,ZEEBRUGGE-BUNDEL DART-LINE,ZEEBRUGGE-BUNDEL DART-LINE,Zeebr-Dart-L,Zeebr-Dart-L,Zeebrugge-B.Dart-L,Zeebrugge-B.Dart-L,Zeebrugge-Bundel Dart-Line,Zeebrugge-Bundel Dart-Line,Station,Station,Gare
"50.77212949643041, 4.994219913471169",384,BE00384,FZE,EZEMAAL,EZEMAAL,EZEMAAL,EZEMAAL,Ezemaal,Ezemaal,Ezemaal,Ezemaal,Ezemaal,Ezemaal,Station,Station,Gare
"51.1511261284004, 3.745454778753114",1927,BE01927,RBZKN,IN ZANDEKEN,IN ZANDEKEN,EVERGEM-INRIT BUNDEL ZANDEKEN,EVERGEM-INRIT BUNDEL ZANDEKEN,In Zandeken,In Zandeken,Evergem-In Zandeken,Evergem-In Zandeken,Evergem-Inrit Bundel Zandeken,Evergem-Inrit Bundel Zandeken,Rooster,Grid,Gril
"50.20321569366293, 5.314305549443508",801,BE00801,MML,MARLOIE,MARLOIE,MARLOIE,MARLOIE,Marloie,Marloie,Marloie,Marloie,Marloie,Marloie,Station,Station,Gare
"51.2027045789305, 3.799473632535886",1267,BE01267,FZZ,ZELZATE,ZELZATE,ZELZATE,ZELZATE,Zelzate,Zelzate,Zelzate,Zelzate,Zelzate,Zelzate,Station,Station,Gare
"49.71825436971725, 5.632255946957877",496,BE00496,MHB,HABAY,HABAY,HABAY,HABAY,Habay,Habay,Habay,Habay,Habay,Habay,Station,Station,Gare
"51.084295338033606, 5.132012629622655",1163,BE01163,LH,HAM,HAM,HAM,HAM,Ham,Ham,Ham,Ham,Ham,Ham,Station,Station,Gare
"50.60055276521531, 3.616784177396661",719,BE00719,FLZ,LEUZE,LEUZE,LEUZE,LEUZE,Leuze,Leuze,Leuze,Leuze,Leuze,Leuze,Station,Station,Gare
"50.57190883815585, 5.37949799411887",557,BE00557,NH,HERMALLE-HUY,HERMALLE-HUY,HERMALLE-SOUS-HUY,HERMALLE-SOUS-HUY,Hermalle-Huy,Hermalle-Huy,Hermalle-sous-Huy,Hermalle-sous-Huy,Hermalle-sous-Huy,Hermalle-sous-Huy,Station,Station,Gare
"51.31228295043089, 3.133562308909295",166,BE00166,FBK,BLANKENBERGE,BLANKENBERGE,BLANKENBERGE,BLANKENBERGE,Blankenberge,Blankenberge,Blankenberge,Blankenberge,Blankenberge,Blankenberge,Station,Station,Gare
"50.78779112788674, 3.2023259051549",698,BE00698,FWU,LAUWE,LAUWE,LAUWE,LAUWE,Lauwe,Lauwe,Lauwe,Lauwe,Lauwe,Lauwe,Station,Station,Gare
"50.41221700863439, 4.394312434316758",791,BE00791,FMR,MARCH-AU-PT,MARCH-AU-PT,MARCHIENNE-AU-PONT,MARCHIENNE-AU-PONT,March-au-Pt,March-au-Pt,Marchienne-au-Pont,Marchienne-au-Pont,Marchienne-au-Pont,Marchienne-au-Pont,Station,Station,Gare
